epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2159.15,1.50791,0.92241,1.72468,0.9757,0.95266,0.9903,0.59085,1.39294,0.85943,1.83754,0.000820675,0.000820675,0.000820675
45,2207.56,1.47285,0.89027,1.70577,0.92715,0.89983,0.97428,0.58349,1.33255,1.08651,1.79338,0.000806528,0.000806528,0.000806528
46,2256.04,1.54175,0.93008,1.66521,0.97171,0.94172,0.98621,0.59503,1.33148,0.91557,1.81181,0.00079238,0.00079238,0.00079238
47,2304.54,1.46054,0.88642,1.66338,0.9786,0.98146,0.98835,0.59199,1.40512,0.84928,1.86599,0.000778233,0.000778233,0.000778233
48,2352.85,1.61739,0.9604,1.78221,0.9925,0.98914,0.98903,0.58453,1.34811,0.83172,1.82147,0.000764086,0.000764086,0.000764086
49,2401.41,1.48398,0.91317,1.69394,0.96711,0.93553,0.98744,0.57429,1.43214,0.96627,1.89186,0.000749939,0.000749939,0.000749939
50,2450.18,1.45535,0.94637,1.6973,0.99436,0.99155,0.995,0.5843,1.30229,0.93572,1.77059,0.000735792,0.000735792,0.000735792
51,2498.82,1.45575,0.88171,1.69161,0.98279,0.99489,0.995,0.5955,1.28848,0.92805,1.76207,0.000721645,0.000721645,0.000721645
52,2547.46,1.42081,0.91078,1.69671,0.99374,0.98903,0.99467,0.60063,1.34964,0.77463,1.79861,0.000707498,0.000707498,0.000707498
53,2596.25,1.49948,0.89156,1.68504,0.98781,0.98282,0.98949,0.60496,1.31921,0.79507,1.78106,0.000693351,0.000693351,0.000693351
54,2645.02,1.42473,0.86171,1.65871,0.9887,0.99779,0.995,0.58633,1.37667,0.78495,1.79768,0.000679204,0.000679204,0.000679204
55,2694.07,1.49501,0.86813,1.71955,0.97356,0.96805,0.98217,0.53012,1.57653,0.82699,1.98274,0.000665057,0.000665057,0.000665057
56,2742.7,1.47545,0.84179,1.67373,0.98975,0.98951,0.98956,0.59951,1.33895,0.74353,1.78191,0.000650909,0.000650909,0.000650909
57,2790.52,1.44632,0.83812,1.65074,0.99151,0.99173,0.98977,0.61473,1.31739,0.71952,1.7654,0.000636762,0.000636762,0.000636762
58,2838.67,1.45113,0.8732,1.67035,0.97984,0.9609,0.99004,0.61452,1.35183,0.78767,1.81692,0.000622615,0.000622615,0.000622615
59,2886.79,1.47918,0.82742,1.6615,0.98831,0.9904,0.99222,0.59802,1.32992,0.70319,1.80184,0.000608468,0.000608468,0.000608468
60,2935.1,1.40339,0.85517,1.60049,0.9823,0.99463,0.99497,0.59617,1.35438,0.81627,1.7922,0.000594321,0.000594321,0.000594321
61,2983.02,1.38575,0.80623,1.63346,0.99372,0.98774,0.99111,0.60685,1.3,0.74302,1.75268,0.000580174,0.000580174,0.000580174
62,3031.09,1.46007,0.79775,1.68554,0.99062,0.99345,0.99051,0.6238,1.30888,0.69236,1.75998,0.000566027,0.000566027,0.000566027
63,3079.82,1.34759,0.73285,1.58116,0.99666,0.99117,0.99491,0.62453,1.28137,0.68811,1.74398,0.00055188,0.00055188,0.00055188
64,3128.03,1.46313,0.79292,1.62908,0.98329,0.98589,0.9924,0.61583,1.31293,0.6914,1.78126,0.000537733,0.000537733,0.000537733
65,3176.46,1.42105,0.81319,1.69587,0.99697,0.99785,0.995,0.60818,1.32841,0.67959,1.75587,0.000523586,0.000523586,0.000523586
66,3224.66,1.43983,0.79939,1.62265,0.99273,0.99437,0.99336,0.6368,1.24291,0.70144,1.72192,0.000509438,0.000509438,0.000509438
67,3272.31,1.39014,0.78487,1.6332,0.99802,1,0.995,0.62414,1.31699,0.66793,1.75307,0.000495291,0.000495291,0.000495291
68,3321.09,1.38952,0.79916,1.61208,0.99647,0.99866,0.995,0.60528,1.30054,0.67461,1.74513,0.000481144,0.000481144,0.000481144
69,3369.2,1.46064,0.74804,1.60438,0.98127,1,0.99346,0.60136,1.29371,0.68539,1.75248,0.000466997,0.000466997,0.000466997
70,3417.28,1.43163,0.74852,1.64984,0.99486,1,0.995,0.61805,1.30158,0.66508,1.74881,0.00045285,0.00045285,0.00045285
71,3465.42,1.32608,0.74153,1.61094,0.99523,1,0.995,0.63591,1.25697,0.65253,1.71073,0.000438703,0.000438703,0.000438703
72,3513.64,1.37505,0.75651,1.62156,0.98786,0.99113,0.99075,0.6329,1.26897,0.67646,1.72046,0.000424556,0.000424556,0.000424556
73,3561.74,1.34889,0.7064,1.54263,0.9862,0.9936,0.99344,0.62892,1.27084,0.64976,1.72881,0.000410409,0.000410409,0.000410409
74,3609.83,1.38145,0.77628,1.54787,0.99351,0.99374,0.99111,0.63932,1.23921,0.63104,1.70438,0.000396262,0.000396262,0.000396262
75,3658,1.32268,0.72381,1.55918,0.99149,0.98475,0.99077,0.62283,1.27447,0.69399,1.72685,0.000382115,0.000382115,0.000382115
76,3706.06,1.32946,0.731,1.57696,0.99264,0.99194,0.99082,0.63194,1.25292,0.65528,1.71227,0.000367967,0.000367967,0.000367967
77,3753.85,1.38204,0.76804,1.65881,0.99152,0.99194,0.99112,0.63635,1.24797,0.65729,1.70198,0.00035382,0.00035382,0.00035382
78,3802.04,1.31504,0.7239,1.62362,0.99209,0.99194,0.99072,0.64253,1.23995,0.60902,1.69019,0.000339673,0.000339673,0.000339673
79,3850.32,1.35655,0.71147,1.55205,0.98628,0.99524,0.99301,0.63375,1.29077,0.6256,1.74473,0.000325526,0.000325526,0.000325526
80,3898.83,1.31531,0.69332,1.57068,0.99184,0.99499,0.9924,0.62727,1.20835,0.63298,1.67016,0.000311379,0.000311379,0.000311379
81,3947.18,1.37341,0.72211,1.58222,0.99395,0.99466,0.99093,0.64739,1.19754,0.59924,1.65462,0.000297232,0.000297232,0.000297232
